Brand,Name,Harga,Rating,Review
Loreal Paris,Voluminous Panorama Waterproof Mascara,Rp164.900,4.8,(97)
Innisfree,No Sebum Mineral Powder,Rp104.000,4.7,(626)
Rose All Day,The Realest Lightweight Loose Powder,Rp122.180-Rp126.650,4.7,(391)
barenbliss,Roll To High Mascara,Rp74.610Rp82.900,4.8,(93)
barenbliss,Bloomatte Perfect Zoom Cover Cushion,Rp134.910Rp149.900,4.7,(61)
Mother of Pearl,Haute Holochrome Eyeshadow,Rp184.500Rp369.000,4.7,(500)
ESQA,Freeze Tinted Brow Mascara,Rp135.000Rp150.000,4.6,"(1,8k)"
Skintific,All Day Perfect Serum Foundation,Rp149.400Rp249.000,4.8,(455)
ESQA,Flawless Liquid Corrector,Rp120.000-Rp165.000,4.7,(944)
Rose All Day,Brow fix micro pencil,Rp87.120Rp99.000,4.6,(345)
Sea Makeup,Lock It Matte Acne Setting Spray,Rp95.200,4.7,(660)
Luxcrime,Luxcrime Triple Action Micro Brow Definer,Rp94.050Rp99.000,4.6,(59)
Luxcrime,Luxcrime Glow-Getter Dewy Setting Spray,Rp75.050-Rp141.550,4.7,(245)
BLP Beauty,Brow Definer,Rp139.000,4.6,(691)
barenbliss,Plum Makes Plumping Lip Gloss,Rp65.610Rp72.900,4.7,(64)
Maybelline,Hypersharp Extreme Eyeliner,Rp154.900,4.7,(372)
Dear Me Beauty,Velvet Lip Tint,Rp60.830-Rp79.000,4.6,(559)
Rose All Day,Lip Gloss,Rp100.620-Rp103.200,4.5,"(1,5k)"
Dear Me Beauty,Airy Poreless Fluid Foundation,Rp85.000-Rp179.000,4.6,"(2,6k)"
Glad2Glow,REFILL Perfect Cover Cushion,Rp78.300Rp87.000,4.8,(76)
ESQA,Brow Stroke Pencil,Rp90.250Rp95.000,4.6,"(2,1k)"
Rose All Day,The Realest Lightweight Essence Cushion,Rp141.750-Rp151.200,4.7,"(1,8k)"
Maybelline,Superstay Lumi Matte Foundation,Rp154.900,4.8,(131)
Maybelline,The Falsies Lash Lift,Rp164.900,4.7,"(1,8k)"
TIRTIR,Mask Fit Red Cushion 18gr,Rp315.000Rp450.000,4.6,(111)
Rose All Day,Thunder Lash Volumizing Mascara,Rp103.200Rp129.000,4.8,"(1,5k)"
ESQA,Minimalist Serum Concealer,Rp120.000,4.7,(185)
Holika Holika,Mellow Gliding Pencil Liner,Rp128.000,4.5,(312)
Mother of Pearl,Bloom Maximum Intensity Pigment Blusher,Rp95.200-Rp113.050,4.7,(221)
Luxcrime,Luxcrime Blur & Cover Two Way Cake : Silk Glow,Rp122.550Rp129.000,4.7,(135)
Azarine,Velvety Lippie Cream,Rp54.000,4.5,(522)
TIMEPHORIA,NEBULA VELVET LIP CREAM,Rp132.000,4.7,(22)
Guele Cosmetics,Bare Cushion,Rp199.000,4.7,(955)
Mother of Pearl,Abracadabrow Tinted Brow Laminator,Rp104.720Rp119.000,4.7,(446)
Make Over,Powerstay 24H Matte Powder Foundation,Rp197.100-Rp219.000,4.8,(73)
Sea Makeup,Browstage Micro Pencil,Rp58.800,4.8,(227)
Mother of Pearl,Tender Touch Soft Ombré Powder Blush,Rp103.200-Rp122.550,4.8,(281)
BLP Beauty,Lip Coat,Rp139.000-Rp149.000,4.5,"(5,9k)"
Make Over,Silky Smooth Translucent Powder,Rp135.900-Rp151.000,4.5,"(2,9k)"
ESQA,The Goddess Cheek Palette,Rp180.000Rp225.000,4.6,"(2,4k)"
Rose All Day,Plush Liptint,Rp77.400-Rp84.150,4.6,"(1,3k)"
Luxcrime,Luxcrime Instant Cover Hydralight Concealer,Rp84.550Rp89.000,4.7,(104)
Sea Makeup,Browshow Eyebrow Trio Kit,Rp55.200,4.7,(284)
Raine Beauty,Soft Cheek Color Drops,Rp150.300Rp167.000,4.6,(431)
Luxcrime,Luxcrime Ulti-Matte Oil Control Setting Spray,Rp75.050-Rp141.550,4.7,(224)
Holika Holika,Tail Lasting Brush Liner EX,Rp151.200Rp168.000,4.6,(147)
Rose All Day,Lip and Cheek Duo,Rp89.380-Rp92.650,4.6,(502)
Rose All Day,Thunder Lash Lengthening Mascara,Rp103.200Rp129.000,4.8,"(1,9k)"
Tavi,Color Play Face Tint Blush,Rp90.000-Rp100.000,4.6,(153)
Rose All Day,Thunder Lash Mascara Hyper-Length,Rp103.200Rp129.000,4.8,(239)
Maybelline,Tattoo Liner 48H Liquid Pen,Rp93.900,4.8,(215)
Maybelline,Superstay Vinyl Ink Sauce Limited Edition,Rp139.900,4.9,(27)
YOU Beauty,YOU Cloud Touch Blurring Skin Tint,Rp109.350Rp121.500,4.7,(728)
ESQA,Cloud Kiss Refillable Powder Lipstick,Rp69.000Rp109.000,4.7,(178)
Maybelline,Superstay Matte Ink Pink Edition,Rp138.900,4.7,(631)
Sea Makeup,Vibrant Flushed Liquid Blush,Rp78.200-Rp95.200,4.8,(83)
ESQA,Blurred Haze Velvet Lip Tint,Rp60.000Rp99.000,4.7,(272)
Espoir,Couture Lip Tint Glaze,Rp269.000,4.8,(228)
Dazzle Me,Color Chrome Lipglaze,Rp34.110Rp37.900,4.6,(38)
ESQA,Highlighter,Rp95.000,4.6,"(1,2k)"
Rose All Day,The Realest Lightweight Powder Foundation,Rp62.550-Rp69.500,4.7,(268)
Rose All Day,Cheeky Veil Powder Blush,Rp89.380Rp109.000,4.7,(283)
Rose All Day,Rosé All Day's The Powerpuff Girls Lip Mousse,Rp87.120Rp99.000,4.6,(94)
NPure,Power Powder,Rp89.100Rp99.000,4.7,(74)
BLP Beauty,Face Powder 10 gr,Rp79.500-Rp159.000,4.6,"(2,9k)"
