Brand,Name,Rating,Review,Harga_Diskon,Harga_Asli
Glad2Glow,REFILL Perfect Cover Cushion,4.8,76,78300,87000
ESQA,Brow Stroke Pencil,4.6,2100,90250,95000
Rose All Day,The Realest Lightweight Essence Cushion,4.7,1800,141750,151200
Maybelline,Superstay Lumi Matte Foundation,4.8,131,154900,154900
Maybelline,The Falsies Lash Lift,4.7,1800,164900,164900
TIRTIR,Mask Fit Red Cushion 18gr,4.6,111,315000,450000
Rose All Day,Thunder Lash Volumizing Mascara,4.8,1500,103200,129000
ESQA,Minimalist Serum Concealer,4.7,185,120000,120000
Holika Holika,Mellow Gliding Pencil Liner,4.5,312,128000,128000
Mother of Pearl,Bloom Maximum Intensity Pigment Blusher,4.7,221,95200,113050
Luxcrime,Luxcrime Blur & Cover Two Way Cake : Silk Glow,4.7,135,122550,129000
Azarine,Velvety Lippie Cream,4.5,522,54000,54000
TIMEPHORIA,NEBULA VELVET LIP CREAM,4.7,22,132000,132000
Guele Cosmetics,Bare Cushion,4.7,955,199000,199000
Mother of Pearl,Abracadabrow Tinted Brow Laminator,4.7,446,104720,119000
Make Over,Powerstay 24H Matte Powder Foundation,4.8,73,197100,219000
Sea Makeup,Browstage Micro Pencil,4.8,227,58800,58800
Mother of Pearl,Tender Touch Soft Ombré Powder Blush,4.8,281,103200,122550
BLP Beauty,Lip Coat,4.5,5900,139000,149000
Make Over,Silky Smooth Translucent Powder,4.5,2900,135900,151000
ESQA,The Goddess Cheek Palette,4.6,2400,180000,225000
Rose All Day,Plush Liptint,4.6,1300,77400,84150
Luxcrime,Luxcrime Instant Cover Hydralight Concealer,4.7,104,84550,89000
Sea Makeup,Browshow Eyebrow Trio Kit,4.7,284,55200,55200
Raine Beauty,Soft Cheek Color Drops,4.6,431,150300,167000
Luxcrime,Luxcrime Ulti-Matte Oil Control Setting Spray,4.7,224,75050,141550
Holika Holika,Tail Lasting Brush Liner EX,4.6,147,151200,168000
Rose All Day,Lip and Cheek Duo,4.6,502,89380,92650
Rose All Day,Thunder Lash Lengthening Mascara,4.8,1900,103200,129000
Tavi,Color Play Face Tint Blush,4.6,153,90000,100000
Rose All Day,Thunder Lash Mascara Hyper-Length,4.8,239,103200,129000
Maybelline,Tattoo Liner 48H Liquid Pen,4.8,215,93900,93900
Maybelline,Superstay Vinyl Ink Sauce Limited Edition,4.9,27,139900,139900
YOU Beauty,YOU Cloud Touch Blurring Skin Tint,4.7,728,109350,121500
ESQA,Cloud Kiss Refillable Powder Lipstick,4.7,178,69000,109000
Maybelline,Superstay Matte Ink Pink Edition,4.7,631,138900,138900
Sea Makeup,Vibrant Flushed Liquid Blush,4.8,83,78200,95200
ESQA,Blurred Haze Velvet Lip Tint,4.7,272,60000,99000
Espoir,Couture Lip Tint Glaze,4.8,228,269000,269000
Dazzle Me,Color Chrome Lipglaze,4.6,38,34110,37900
ESQA,Highlighter,4.6,1200,95000,95000
Rose All Day,The Realest Lightweight Powder Foundation,4.7,268,62550,69500
Rose All Day,Cheeky Veil Powder Blush,4.7,283,89380,109000
Rose All Day,Rosé All Day's The Powerpuff Girls Lip Mousse,4.6,94,87120,99000
NPure,Power Powder,4.7,74,89100,99000
BLP Beauty,Face Powder 10 gr,4.6,2900,79500,159000
Mother of Pearl,My Lips But Prettier Silk Tint,4.7,586,90300,129000
Luxcrime,Luxcrime Seamless Bouncy Blush,4.7,184,84550,89000
Studio Tropik,Foundcealer 2 in 1 Foundation & Concealer,4.6,159,175824,199800
BLP Beauty,Lip Coat Butter Fudge Collection,4.8,50,149000,149000
Jacquelle Beaute,Slim Brow (2in1 Pensil Alis & Spoolie),4.8,453,84480,96000
Make Over,Hyperblack Superstay Liner,4.7,670,140000,140000
Maybelline,Fit Me Matte and Poreless Liquid Foundation,4.6,1900,171900,171900
Luxcrime,Perfecting Hydralight® Skin Tint SPF 35,4.8,30,151050,159000
Laneige,NEO Cushion Matte,4.8,345,418000,440000
Loreal Paris,Volume Lash Paradise,4.7,3700,204500,204500
Skintific,Invisiblur All Day Loose Powder,4.8,49,138600,154000
Make Over,Intense Matte Lip Cream,4.5,8700,107100,119000
barenbliss,Bloomatte Soul-Matte Loose Powder,4.6,43,106305,111900
YOU Beauty,YOU NoutriWear+ Airy Fit Loose Powder,4.6,736,65700,73000
Holika Holika,Wonder Drawing 24hr Auto Eyebrow,4.6,307,86000,86000
Maybelline,Maybelline Lash Sensational Firework Mascara,4.9,24,159900,159900
Romand,Juicy Lasting Tint,4.4,302,152100,169000
ESQA,Flawless Cushion Serum SPF 50+ PA++++ Velvet Matte,4.8,40,160000,208000
Azarine,Oh! My Brow Definer,4.7,384,55000,55000
Jacquelle Beaute,Jacquelle Glitter Gloss Tint x Jazzy - Inside Out Edition,4.9,219,127200,159000
